command,string_value,ngram,matched_token,matched_category,line,name,game_id
PRINT,"""{clr}""","['PRINT', '""{clr}""']",PRINT,command-string-adjacent,10,spukhaus3,5
PRINT,"""eingangshalle""","['PRINT', '""eingangshalle""']",PRINT,command-string-adjacent,1045,spukhaus3,5
PRINT,"""speisekammer""","['PRINT', '""speisekammer""']",PRINT,command-string-adjacent,2055,spukhaus3,5
PRINT,"""{rvs_on}{red}{home}{down}{down}{down}{right}{right}{right}{right}{right}{right}{right}{right}{right}{CBM-G}""","['PRINT', '""{rvs_on}{red}{home}{down}{down}{down}{right}{right}{right}{right}{right}{right}{right}{right}{right}{CBM-G}""']",PRINT,command-string-adjacent,3010,spukhaus3,5
PRINT,"""{clr}{down}{down}das war gift""","['PRINT', '""{clr}{down}{down}das war gift""']",PRINT,command-string-adjacent,4230,spukhaus3,5
PRINT,"""{down}du bist tot""","['PRINT', '""{down}du bist tot""']",PRINT,command-string-adjacent,4230,spukhaus3,5
PRINT,"""{clr}{down}{down}{down}{red}du stehst vor dem     {down}{down}{down}spukhaus""","['PRINT', '""{clr}{down}{down}{down}{red}du stehst vor dem     {down}{down}{down}spukhaus""']",PRINT,command-string-adjacent,5000,spukhaus3,5
PRINT,"""{down}{down}{down}es ist 14.00 uhr""","['PRINT', '""{down}{down}{down}es ist 14.00 uhr""']",PRINT,command-string-adjacent,5010,spukhaus3,5
PRINT,"""{down}suche jane""","['PRINT', '""{down}suche jane""']",PRINT,command-string-adjacent,5010,spukhaus3,5
PRINT,"""zimmer""","['PRINT', '""zimmer""']",PRINT,command-string-adjacent,6055,spukhaus3,5
PRINT,"""{clr}{down}{down}{red}der weg verzweigt""","['PRINT', '""{clr}{down}{down}{red}der weg verzweigt""']",PRINT,command-string-adjacent,7005,spukhaus3,5
PRINT,"""{down}du kannst nach        {down}osten  (o)            {down}westen (w)""","['PRINT', '""{down}du kannst nach        {down}osten  (o)            {down}westen (w)""']",PRINT,command-string-adjacent,7010,spukhaus3,5
PRINT,"""{down}sueden (s)""","['PRINT', '""{down}sueden (s)""']",PRINT,command-string-adjacent,7020,spukhaus3,5
PRINT,"""{rvs_on}{red}{home}{down}{down}{down}{down}{down}{down}{down}{down}{right}{right}{right}{right}{right}{right}{right}{right}{CBM-Q}""","['PRINT', '""{rvs_on}{red}{home}{down}{down}{down}{down}{down}{down}{down}{down}{right}{right}{right}{right}{right}{right}{right}{right}{CBM-Q}""']",PRINT,command-string-adjacent,8020,spukhaus3,5
PRINT,"""dachboden""","['PRINT', '""dachboden""']",PRINT,command-string-adjacent,8045,spukhaus3,5
PRINT,"""{clr}{down}{down}{down}{red}du bist im garten     {down}du kannst nur durch   {down}die eingangstuer ""","['PRINT', '""{clr}{down}{down}{down}{red}du bist im garten     {down}du kannst nur durch   {down}die eingangstuer ""']",PRINT,command-string-adjacent,9000,spukhaus3,5
PRINT,"""{down}wieder ins            {down}spukschloss""","['PRINT', '""{down}wieder ins            {down}spukschloss""']",PRINT,command-string-adjacent,9010,spukhaus3,5
PRINT,"""{clr}{down}{down}{red}du bist auf dem       {down}flur                  {down}du kannst nach""","['PRINT', '""{clr}{down}{down}{red}du bist auf dem       {down}flur                  {down}du kannst nach""']",PRINT,command-string-adjacent,10005,spukhaus3,5
PRINT,"""{down}osten (o)             {down}sueden (s),           {down}westen (w)""","['PRINT', '""{down}osten (o)             {down}sueden (s),           {down}westen (w)""']",PRINT,command-string-adjacent,10010,spukhaus3,5
PRINT,"""getoetet""","['PRINT', '""getoetet""']",PRINT,command-string-adjacent,13190,spukhaus3,5
PRINT,"""such das messer""","['PRINT', '""such das messer""']",PRINT,command-string-adjacent,14220,spukhaus3,5
PRINT,"""der gehilfe ist ver-""","['PRINT', '""der gehilfe ist ver-""']",PRINT,command-string-adjacent,14256,spukhaus3,5
PRINT,"""jagt""","['PRINT', '""jagt""']",PRINT,command-string-adjacent,14256,spukhaus3,5
PRINT,"""der gehilfe ist tot""","['PRINT', '""der gehilfe ist tot""']",PRINT,command-string-adjacent,14258,spukhaus3,5
