depth,ngram,matched_token,matched_category,line,name,game_id
1,['DIM'],DIM,CV,5,spukhaus3,5
1,['PRINT'],PRINT,CI,10,spukhaus3,5
1,['POKE'],POKE,CR,20,spukhaus3,5
1,['GOSUB'],GOSUB,CP,30,spukhaus3,5
1,['IF'],IF,CP,40,spukhaus3,5
1,['IF'],IF,CP,42,spukhaus3,5
1,['IF'],IF,CP,44,spukhaus3,5
1,['GOTO'],GOTO,CP,990,spukhaus3,5
1,['IF'],IF,CP,1010,spukhaus3,5
1,['IF'],IF,CP,1020,spukhaus3,5
1,['GOSUB'],GOSUB,CP,1030,spukhaus3,5
1,['PRINT'],PRINT,CI,1040,spukhaus3,5
1,['PRINT'],PRINT,CI,1045,spukhaus3,5
1,['FOR'],FOR,CP,1047,spukhaus3,5
1,['GOSUB'],GOSUB,CP,1050,spukhaus3,5
1,['GOSUB'],GOSUB,CP,1055,spukhaus3,5
1,['IF'],IF,CP,1060,spukhaus3,5
1,"['THEN', '""geh tuer""']",THEN,CP,1060,spukhaus3,5
1,['IF'],IF,CP,1065,spukhaus3,5
1,"['THEN', '""s""']",THEN,CP,1065,spukhaus3,5
1,['IF'],IF,CP,1070,spukhaus3,5
1,"['THEN', '""o""']",THEN,CP,1070,spukhaus3,5
1,['IF'],IF,CP,1075,spukhaus3,5
1,"['THEN', '""hoch""']",THEN,CP,1075,spukhaus3,5
1,['IF'],IF,CP,1077,spukhaus3,5
1,['IF'],IF,CP,1080,spukhaus3,5
1,"['THEN', '""fenster""']",THEN,CP,1080,spukhaus3,5
1,['IF'],IF,CP,1085,spukhaus3,5
1,"['THEN', '""nimm streichholz""']",THEN,CP,1085,spukhaus3,5
1,['IF'],IF,CP,1090,spukhaus3,5
1,"['THEN', '""""']",THEN,CP,1090,spukhaus3,5
1,['REM'],REM,CP,1100,spukhaus3,5
1,['IF'],IF,CP,1120,spukhaus3,5
1,"['THEN', '""nimm kreuz""']",THEN,CP,1120,spukhaus3,5
1,['IF'],IF,CP,1890,spukhaus3,5
1,['GOSUB'],GOSUB,CP,1895,spukhaus3,5
1,['FOR'],FOR,CP,1900,spukhaus3,5
1,['IF'],IF,CP,2010,spukhaus3,5
1,['GOSUB'],GOSUB,CP,2040,spukhaus3,5
1,['PRINT'],PRINT,CI,2050,spukhaus3,5
1,['PRINT'],PRINT,CI,2055,spukhaus3,5
1,['FOR'],FOR,CP,2060,spukhaus3,5
1,['GOSUB'],GOSUB,CP,2100,spukhaus3,5
1,['GOSUB'],GOSUB,CP,2105,spukhaus3,5
1,['IF'],IF,CP,2110,spukhaus3,5
1,"['THEN', '""s""']",THEN,CP,2110,spukhaus3,5
1,['IF'],IF,CP,2120,spukhaus3,5
1,"['THEN', '""n""']",THEN,CP,2120,spukhaus3,5
1,['IF'],IF,CP,2125,spukhaus3,5
1,['IF'],IF,CP,2130,spukhaus3,5
1,"['THEN', '""schrank""']",THEN,CP,2130,spukhaus3,5
1,['IF'],IF,CP,2135,spukhaus3,5
1,"['THEN', '""schrank""']",THEN,CP,2135,spukhaus3,5
1,['IF'],IF,CP,2140,spukhaus3,5
1,"['THEN', '""""']",THEN,CP,2140,spukhaus3,5
1,['IF'],IF,CP,2150,spukhaus3,5
1,"['THEN', '""o""']",THEN,CP,2150,spukhaus3,5
1,['IF'],IF,CP,2160,spukhaus3,5
1,"['THEN', '""nimm hammer""']",THEN,CP,2160,spukhaus3,5
1,['IF'],IF,CP,2170,spukhaus3,5
1,"['THEN', '""iss""']",THEN,CP,2170,spukhaus3,5
1,['IF'],IF,CP,2180,spukhaus3,5
1,"['THEN', '""trink""']",THEN,CP,2180,spukhaus3,5
1,['IF'],IF,CP,2200,spukhaus3,5
1,"['THEN', '""lies zettel""']",THEN,CP,2200,spukhaus3,5
1,['IF'],IF,CP,2900,spukhaus3,5
1,['GOSUB'],GOSUB,CP,2910,spukhaus3,5
1,['IF'],IF,CP,3010,spukhaus3,5
1,['IF'],IF,CP,3020,spukhaus3,5
1,['GOSUB'],GOSUB,CP,3040,spukhaus3,5
1,['PRINT'],PRINT,CI,3050,spukhaus3,5
1,['FOR'],FOR,CP,3060,spukhaus3,5
1,['GOSUB'],GOSUB,CP,3100,spukhaus3,5
1,['GOSUB'],GOSUB,CP,3105,spukhaus3,5
1,['IF'],IF,CP,3110,spukhaus3,5
1,"['THEN', '""s""']",THEN,CP,3110,spukhaus3,5
1,['IF'],IF,CP,3120,spukhaus3,5
1,['IF'],IF,CP,3125,spukhaus3,5
1,['IF'],IF,CP,3130,spukhaus3,5
1,"['THEN', '""tisch""']",THEN,CP,3130,spukhaus3,5
1,['IF'],IF,CP,3150,spukhaus3,5
1,['IF'],IF,CP,3170,spukhaus3,5
1,"['THEN', '""oeffne luke""']",THEN,CP,3170,spukhaus3,5
1,['IF'],IF,CP,3175,spukhaus3,5
1,['IF'],IF,CP,3180,spukhaus3,5
1,"['THEN', '""kamin""']",THEN,CP,3180,spukhaus3,5
1,['IF'],IF,CP,3200,spukhaus3,5
1,"['THEN', '""zieh hebel""']",THEN,CP,3200,spukhaus3,5
1,['IF'],IF,CP,3210,spukhaus3,5
1,"['THEN', '""drueck hebel""']",THEN,CP,3210,spukhaus3,5
1,['IF'],IF,CP,3230,spukhaus3,5
1,"['THEN', '""n""']",THEN,CP,3230,spukhaus3,5
1,['IF'],IF,CP,3240,spukhaus3,5
1,"['THEN', '""""']",THEN,CP,3240,spukhaus3,5
1,['IF'],IF,CP,3250,spukhaus3,5
1,"['THEN', '""w""']",THEN,CP,3250,spukhaus3,5
1,['IF'],IF,CP,3260,spukhaus3,5
1,"['THEN', '""w""']",THEN,CP,3260,spukhaus3,5
1,['IF'],IF,CP,3270,spukhaus3,5
1,"['THEN', '""oeffne tuer""']",THEN,CP,3270,spukhaus3,5
