ngram,count
"['STR$', ',']",3
"['THEN', '""f""']",1
"['IF', '1']",9
"['STEP', '240']",3
"['TO', '36876']",1
"['TO', '250']",9
"['STR$', ')']",1
"['LEN', '-']",1
"['STR$', 'MID$']",1
"['MID$', 'PRINT']",1
"['THEN', '9']",7
"['LEFT$', 'TAB(']",1
"['TAB(', ';']",4
"['THEN', '<']",4
"['INPUT', 'THEN']",1
"['THEN', ')']",19
"['THEN', '""-""']",1
"['THEN', '60']",2
"['THEN', '"".""']",1
"['GOTO', '2000']",13
"['INPUT#', ':']",2
"['STR$', '(']",11
"['IF', '/']",1
"['WAIT', 'i']",1
"['THEN', '21']",18
"['VAL', '=']",10
"['THEN', 'py']",3
"['POKE', 'f']",18
"['THEN', '33']",4
"['THEN', '30']",1
"['TAB(', 'PRINT']",11
"['RND', '(']",149
"['THEN', '10']",7
"['THEN', '3']",31
"['THEN', '/']",1
"['RND', '=']",5
"['POKE', 'zs']",1
"['DIM', '60']",1
"['NEXT', 'NEXT']",28
"['POKE', '+']",26
"['POKE', 'k3']",1
"['STEP', 'k2']",1
"['TO', 'k1']",1
"['THEN', '"" ""']",7
"['POKE', 'b1']",9
"['PRINT', '""{clr}{down} {rvs_on}  {CBM-*}{rvs_off} {rvs_on}{SHIFT-POUND} {CBM-*}{rvs_off} {rvs_on}  {CBM-*}{rvs_off} {rvs_on}{SHIFT-POUND} {CBM-*}{rvs_off} {rvs_on}   ""']",1
"['PRINT', '"" {rvs_on} {rvs_off} {rvs_on} {rvs_off} {rvs_on} {rvs_off} {rvs_on} {rvs_off} {rvs_on} {rvs_off} {rvs_on} {rvs_off} {rvs_on} {rvs_off} {rvs_on} {rvs_off}  {rvs_on} ""']",1
"['POKE', 'b2']",5
"['PRINT', ' ']",2
"['PRINT', '""{down}{down}alles klar?""']",1
"['PRINT', '"" {rvs_on} {rvs_off} {rvs_on} {rvs_off} {CBM-*}{rvs_on} {rvs_off}{SHIFT-POUND} {rvs_on}  {rvs_off}{SHIFT-POUND} {CBM-*}{rvs_on} {rvs_off}{SHIFT-POUND}  {rvs_on} ""']",1
"['PRINT', '""{down}{down}{down}by lutzian widuch 1982""']",1
"['TO', '5000']",1
"['NEXT', 'i']",15
"['PRINT', '""{clr}sie muessen versuchen""']",1
"['PRINT', '""mit moeglichst wenig""']",1
"['PRINT', '""schuessen den roboter""']",1
"['TO', '2']",16
"['THEN', '600']",5
"['TO', 'j1']",1
"['THEN', '42']",7
"['TO', '15']",23
"['IF', '<']",4
"['THEN', '23']",8
"['POKE', ')']",6
"['PRINT', '""highscore:""']",1
"['GOSUB', '1100']",3
"['GOTO', '50']",3
"['NEXT', '=']",4
"['FOR', '15']",1
"['TO', 'm']",4
"['NEXT', '1000']",1
"['THEN', 'aa']",5
"['IF', 'c']",20
"['THEN', 'h']",8
"['TO', 'dc']",1
"['POKE', 'THEN']",53
"['THEN', '+']",5
"['THEN', 'p']",7
"['POKE', 'w3']",1
"['THEN', 'em']",3
"['THEN', '210']",3
"['INT', '*']",4
"['THEN', 'ox']",2
"['THEN', '96']",1
"['THEN', '64']",3
"['THEN', '=']",48
"['CHR$', '+']",5
"['CHR$', '=']",5
"['STEP', '4580']",1
"['TO', '4096']",1
"['INT', '+']",10
"['TO', 'sm']",1
"['THEN', '4']",13
"['RETURN', 'THEN']",7
"['INT', 'x']",2
"['ABS', 'IF']",6
"['STEP', 'co']",1
"['TO', 'll']",2
"['POKE', '64']",1
"['STEP', '5']",6
"['STEP', '6']",1
"['TO', '4']",12
"['IF', 'POKE']",2
"['THEN', 'GOTO']",6
"['THEN', 'll']",2
"['RUN', ':']",6
"['INT', 'q']",1
"['THEN', '.9']",1
"['RND', 'IF']",6
"['GOTO', '""sie gehen""']",1
"['GOTO', '245']",1
"['THEN', '""g""']",1
"['THEN', '""r""']",1
"['THEN', 'nm']",3
"['THEN', 'm']",4
"['THEN', 'cd']",1
"['PRINT', '""sie finden eine lampe""']",1
"['GOSUB', '3000']",2
"['IF', 'tt']",4
"['GOSUB', '2000']",4
"['GOSUB', '70']",4
"['IF', 'p']",16
"['THEN', 'tt']",4
"['IF', 'ox']",2
"['THEN', 'PRINT']",44
"['PRINT', '""ihre luft ist verbraucht!""']",1
"['GOSUB', '4000']",7
"['IF', 't']",5
"['TO', ')']",3
"['POKE', 'tc']",6
"['NEXT', 'co']",1
"['SYS', '57809']",1
"['SYS', '65493']",2
"['PRINT', '""{clr}pO43,1:pO44,28:pO7168,0""']",2
"['THEN', 'se']",1
"['THEN', 'ks']",1
"['IF', 'ge']",4
"['THEN', 'hp']",1
"['IF', 'hp']",1
"['THEN', '15600']",1
"['IF', 'ke']",1
"['THEN', 'li']",3
"['IF', 'ze']",19
"['THEN', 'ke']",1
"['THEN', 'pp']",4
"['GOSUB', '20000']",1
"['THEN', '15420']",2
"['IF', 'kk']",1
"['IF', 'pp']",2
"['PRINT', '""du musst schlafen""']",1
"['THEN', '46200']",1
"['THEN', 'RETURN']",8
"['THEN', 'lu']",1
"['FOR', 'q']",32
"['THEN', 'NEXT']",6
"['TO', '220']",5
"['POKE', '36878']",65
"['POKE', '36875']",24
"['POKE', '36876']",31
"['POKE', '36874']",23
"['NEXT', 'q']",6
"['THEN', 'ha']",1
"['GOTO', '1']",6
"['IF', 'hh']",1
"['THEN', 'q']",5
"['TO', '2000']",22
"['IF', 'dr']",1
"['THEN', '46700']",1
"['IF', 'vn$']",36
"['THEN', 'wa$']",1
"['WAIT', '197']",1
"['GOSUB', '21200']",5
"['CHR$', '""{rvs_on}{red}{up}{up}{up}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}Y""']",1
"['GOSUB', '45000']",7
"['THEN', '14500']",3
"['PRINT', 'q$']",33
"['GOTO', '15017']",1
