ngram,count
"['THEN', 'p2', '=']",4
"['=', 'pc', '-']",2
"['-', 'p2', ')']",2
"[';', 'f1$', '(']",3
"['IF', 'p2', '<']",1
"['+', 'p2', '+']",2
"[':', 'a$', ';']",3
"['DIM', 'm$', '(']",1
"[',', 'l%', '(']",1
"[',', 'f%', '(']",1
"[',', 'f1$', '(']",1
"[',', 'f2$', '(']",3
"['(', 'i', ')']",83
"['READ', 'f1$', '(']",2
"['READ', 'm$', '(']",1
"['READ', 'l%', '(']",2
"['0', 'oz', 'PEEK']",1
"[':', 'tv', '=']",1
"['THEN', 'ls%', '=']",1
"['=', 'i', ':']",8
"['IF', 'ts%', '=']",1
"['=', 'ii%', '(']",1
"['(', 'i', ',']",11
"[',', 'ii', ')']",6
"['AND', 'tz', '>']",1
"['>', 'pp', '(']",2
"[':', 'ii%', '(']",2
"['=', 'ts%', ':']",1
"[':', 'ts%', '=']",2
"['=', 'ii%', ':']",1
"['THEN', 'tv', '1']",1
"['IF', 'tz', '=']",1
"['=', 'pp', '(']",1
"['AND', 'fl', '=']",1
"['=', 'ls%', ':']",1
"[':', 'fl', '=']",1
"[':', 'ap', '=']",1
"[':', 'pp', '(']",1
"['(', 'i', '(']",1
"['=', 'tz', ':']",1
"[':', 'tz', '=']",1
"['IF', 'tz', '>']",1
"['=', 'ii', 'THEN']",2
"[',', 'i', '(']",7
"['PRINT#', 'pp', 'STR$']",1
"['(', 'ii%', '(']",2
"['(', 'pp', '(']",3
"[')', 'nl$', ',']",1
"['(', 'nl$', 'THEN']",1
"['(', 'nl$', 'IF']",1
"['<=', 'pz', 'IF']",2
"['-', 'pz', '=']",1
"['=', 'fr', ':']",2
"['+', 'pz', '=']",5
"[':', 'j', 'NEXT']",4
"['hs', 'hs', '>']",1
"['>', 'pz', 'IF']",1
"[':', 'i', 'NEXT']",7
"[':', 'j', ',']",4
"['(', 'pp', ';']",1
"[')', 'ii', ')']",1
"[')', 'ii', ',']",2
"[';', 'i', '""{home}{down}{down}{down}""']",1
"[')', 'll', '-']",1
"['(', 'nl$', '(']",2
"['<', 'i', 'IF']",2
"['-', 'i', '1']",1
"['13', 'i', '""""']",1
"['""""', 'a$', 'IF']",1
"['=', 'i', 'THEN']",4
"['+', 'i', '=']",3
"['(', 'nl$', 'nl$']",1
"['nl$', 'nl$', 'IF']",1
"[',', 'ie$', ',']",1
"[',', 'pp$', ',']",1
"[',', 'pe$', ',']",1
"[',', 'ip$', ')']",1
"['(', 'pp', ':']",1
"[')', 'pe$', '(']",1
"['i', 'ii%', '(']",1
"['(', 'ii', 'LEN']",1
"['WAIT', 'i', 'THEN']",1
"['/', 'i', '(']",2
"['=', 'll', ':']",2
"[')', 'i', 'ii%']",1
"['i', 'ii%', ':']",1
"[')', 'pp$', '(']",1
"[')', 'ip$', '(']",1
"[',', 'i', '1']",1
"['<>', 'i', 'IF']",3
"['=', 'sl', ':']",3
"['<=', 'r1', 'OR']",1
"[':', 'fr', ',']",1
"['THEN', 'py', '-']",1
"['+', 'r1', '>=']",1
"['>=', 'm', 'POKE']",1
"['<', 'm', 'IF']",2
"[':', 's3', '=']",3
"['-', 'm', '=']",3
"['33', 'm', '=']",1
"[':', 's2', '=']",4
"['+', 'm', 'm']",9
"['m', 'm', '=']",1
"['=', 't', 'IF']",1
"['=', 'f', '+']",2
"[')', 'r2', 'TAB(']",1
"['/', 'pz', '=']",2
"['=', 'pw', 'IF']",1
"['=', 'py', 'IF']",1
"['=', 'py', 'THEN']",2
"['r2', 'r1', ':']",1
"['<', 'py', 'IF']",1
"['2', 'py', 'IF']",1
"[':', 'py', '=']",1
"['=', 'pw', ':']",1
"['=', 'r1', ':']",4
"['$', 'st', ',']",1
"['(', 'nl$', ',']",1
"['$', 'st', ':']",1
"[':', 'y', 'READ']",1
"[':', 'x', 'READ']",2
"['POKE', 'zs', '+']",1
"['(', 'pp', 'DIM']",1
"[':', 'y', ',']",10
"[',', 'j', '+']",4
"['=', 'r2', ':']",3
"[',', 'm', '+']",1
"['=', 's3', ':']",1
"['=', 's2', ':']",2
"['=', 's1', ':']",3
"['=', 'j2', ':']",4
"[':', 'j1', '=']",1
"[',', 'j', '32']",1
"['=', 'k3', ':']",1
"['=', 'k2', ':']",2
"['=', 'k1', ':']",3
"[':', 'j3', '-']",1
"['=', 'j3', ':']",7
"[')', 'k', '(']",3
"['(', 'c1%', ',']",2
"[',', 'j', 'j']",1
"['j', 'j', '4580']",1
"['POKE', 'k3', 'STEP']",1
"['STEP', 'k2', 'TO']",1
"[':', 'k', '=']",4
"[')', 'l', '(']",14
"['(', 'd2', ':']",2
"[':', 'j', '=']",11
"['(', 'd1', 'THEN']",1
"[':', 'a$', '330']",1
"['POKE', 'b1', '+']",7
"['POKE', 'b2', '+']",4
"['=', 'b2', ':']",7
"['(', 'd1', ',']",1
"['6', 'c%', ',']",1
"['$', 'st', 'DIM']",1
"['=', 'hs', ':']",1
"['TO', 'j1', '=']",1
"['<>', 'a$', 'IF']",16
"['+', 'b1', '=']",9
"[':', 'j3', '=']",2
"['(', 'c1%', ':']",4
"['=', 'pz', ':']",6
"['(', 'c%', 'THEN']",5
"['(', 'c%', 'AND']",6
"['+', 'pv', '.5']",1
"['=', 'b3', 'IF']",4
"[':', 'pv', '+']",1
"['*', 'pv', '+']",2
"['=', 'l', 'FOR']",17
"['(', 'd1', '+']",3
"['+', 'b3', 'POKE']",1
"[',', 'b3', 'POKE']",1
"['b3', 'b1', '=']",1
"['+', 'pz', 'b1']",1
"['pz', 'b1', '+']",1
"['+', 'b2', 'POKE']",5
"['(', 'c%', ',']",4
"['+', 'b1', 'POKE']",4
"['(', 'c%', '24']",1
"['POKE', 'b1', '23']",1
"['(', 'c%', ':']",4
"[':', 'pz', ';']",1
"[';', 'm2', ';']",2
"[';', 'm1', ';']",1
"[')', 'm2', '-']",1
"[',', 'c%', '(']",3
"['=', 'm', 'FOR']",10
"['TO', 'm', ':']",1
"[':', 'cb', '=']",4
"['THEN', 'aa', '=']",4
"['IF', 'c', '>']",8
"['(', 'cb', '/']",2
"['/', 'w', 'w']",1
