ngram,count
"['i', '(', 'p', ':', '3', 'TO', '=']",1
"['100', ':', 'NEXT', ':', ')', 'i', '+']",1
"[':', 'NEXT', ':', ')', 'i', '+', 'oz']",1
"['GOTO', ':', 'NEXT', ':', ')', 'i', '+']",1
"[':', 'NEXT', ':', ')', 'i', '+', 'kz']",1
"['i', '+', 'kz', '(', 'PEEK', ',', 'i']",1
"['kz', '(', 'PEEK', ',', 'i', '+', 'zs']",1
"['+', 'ts', 'POKE', ':', 'zs', '2047', '0']",1
"[';', '""{down}""', 'PRINT', ':', 'cy', 'TO', '0']",1
"['=', 'i', 'FOR', ':', 'cy', '=', 'j']",1
"['zz', '=', 'zn', ':', 'NEXT', ':', '8000']",1
"['zn', ':', 'NEXT', ':', '8000', 'GOSUB', ':']",1
"[':', '8000', 'GOSUB', ':', '255', 'TO', '0']",1
"['=', 'zn', 'FOR', ':', 'zn', '=', ':']",1
"['+', 'zs', 'POKE', ':', '126', ',', '230']",1
"['POKE', ':', '126', ',', '230', '+', 'zs']",1
"['+', 'zs', 'POKE', ':', '60', ',', '231']",1
"['POKE', ':', '60', ',', '231', '+', 'zs']",1
"['POKE', ':', '0', ',', '5118', 'POKE', ':']",1
"[',', '5118', 'POKE', ':', '0', ',', '5117']",1
"['i', '+', 'oz', '(', 'PEEK', ',', 'zs']",1
"['oz', '(', 'PEEK', ',', 'zs', '+', 'i']",1
"['zs', '+', '224', ',', 'zs', 'POKE', ':']",1
"[',', 'zs', 'POKE', ':', '255', ',', '226']",1
"['POKE', ':', '255', ',', '226', '+', 'zs']",1
"[':', 'PRINT#', 'pg', ',', 'b$', ':', 'NEXT']",1
"['pg', ',', 'b$', ':', 'NEXT', ':', 'NEXT']",1
"[',', '650', 'POKE', ':', '205', ',', '36869']",1
"['44', ',', '56', ',', '54', ',', '49']",1
"['56', ',', '54', ',', '49', ',', '55']",1
"['54', ',', '49', ',', '55', ',', '151']",1
"[':', 'j', 'READ', ':', '5119', 'TO', '5090']",1
"['0', ',', '0', ',', '0', ',', '138']",1
"[',', ',', '19', ',', '254', ',', '0']",1
"['CLR', ':', '86', ',', '56', 'POKE', ':']",1
"[',', '0', '52', ',', '52', ',', '151']",1
"['52', ',', '52', ',', '151', ',', '58']",1
"['52', ',', '151', ',', '58', ',', '44']",1
"['151', ',', '58', ',', '44', '49', '44']",1
"['44', '49', '44', ',', '51', ',', '52']",1
"['44', ',', '51', ',', '52', ',', '151']",1
"['51', ',', '52', ',', '151', ',', ',']",1
"['22528', '=', 'ts', ':', '34816', '=', 'kz']",1
"['34816', '=', 'kz', ':', '32768', '=', 'oz']",1
"['32768', '=', 'oz', ':', '5120', '=', 'zs']",1
"['(', 'm', 'DIM', ':', '37888', '=', 'fm']",1
"['THEN', 'GOSUB', '9600', ':', 'PRINT#', '4', ',']",1
"[':', 'PRINT#', '4', ',', 'CHR$', '(', '15']",1
"['4', ',', 'CHR$', '(', '15', ')', ':']",1
"['CHR$', '(', '15', ')', ':', 'CLOSE', '4']",1
"['(', '15', ')', ':', 'CLOSE', '4', ':']",1
"[':', 'CLOSE', '4', ':', 'RETURN', '=', 'dl']",1
"['0', 'TO', '351', ':', 'PRINT#', '4', ',']",1
"[':', 'PRINT#', '4', ',', 'CHR$', '(', 'PEEK']",1
"['4', ',', 'CHR$', '(', 'PEEK', '(', 'pb']",1
"['CHR$', '(', 'PEEK', '(', 'pb', '+', 'i']",1
"['pb', '+', 'i', ')', 'FOR', ':', ';']",1
"['22', '+', 'zy', ')', ':', 'zt', '=']",1
"['+', 'zy', ')', ':', 'zt', '=', 'PEEK']",1
"['zt', '=', 'PEEK', '(', 'zs', '+', 'z']",1
"['+', 'z', '*', '(', 'PEEK', '=', 'z']",1
"['2', '^', 'i', ':', 'POKE', 'bz', ',']",1
"[':', 'POKE', 'bz', ',', 'PEEK', '(', 'bz']",1
"['bz', ',', 'PEEK', '(', 'bz', ')', '+']",1
"['PEEK', '(', 'bz', ')', '+', ':', 'POKE']",1
"['bz', ')', '+', ':', 'POKE', 'bz', '+']",1
"['0', 'TO', '7', ':', 'PRINT#', 'pg', ',']",1
"[':', 'PRINT#', 'pg', ',', 'CHR$', '(', '14']",1
"['pg', ',', 'CHR$', '(', '14', ')', '""{SHIFT--}""']",1
"['CHR$', '(', '14', ')', '""{SHIFT--}""', ';', ':']",1
"[':', 'NEXT', '14', ')', ';', 'CHR$', '(']",1
"['NEXT', '14', ')', ';', 'CHR$', '(', '16']",1
"[')', ';', 'CHR$', '(', '16', ')', ';']",1
"['i$', 'i', ')', ';', 'i', '+', 'j']",1
"['i', '+', 'j', ';', ':', '(', '(']",1
"['STEP', '-', '1', ':', 'IF', 'x', '>=']",1
"['x', '=', 'PEEK', '(', 'zp', '+', '(']",1
"['""00""', ':', 'i$', '(', '1', ')', '=']",1
"['i$', '(', '1', ')', '=', '""18""', ':']",1
"[')', '=', '""18""', ':', 'i$', '(', '2']",1
"['""18""', ':', 'i$', '(', '2', ')', '=']",1
"['i$', '(', '2', ')', '=', '""36""', ':']",1
"[')', '=', '""36""', ':', 'i$', '=', '0']",1
"['pg', '=', '4', ':', 'zp', '=', 'zs']",1
"['1', ',', '3', ',', '1', ',', '1']",12
"[',', ',', '3', ',', ',', '3', ',']",1
"[',', '3', ',', ',', '3', ',', '2']",1
"[',', ',', '3', ',', '2', '1', '1']",1
"['2', '1', '1', ',', '2', ',', '1']",1
"['1', ',', '2', ',', '1', ',', '1']",8
"['2', ',', '1', ',', '1', ',', '2']",14
"['2', ',', '3', ',', '1', ',', '1']",2
"['3', ',', '1', ',', '1', ',', '2']",12
"['1', ',', '1', ',', '2', ',', '1']",12
"['2', ',', '1', ',', '1', ',', ',']",4
"['1', ',', '1', ',', ',', '2', ',']",1
"[',', '1', ',', ',', '2', ',', '2']",1
"['1', ',', '3', ',', '3', '1', ',']",2
"[',', '3', '1', ',', '1', ',', '2']",1
"['1', ',', '1', ',', '2', ',', '2']",21
"['1', ',', '2', ',', '2', ',', '1']",14
"['2', ',', '2', ',', '1', '3', ',']",1
"[',', '1', '3', ',', ',', '1', ',']",1
"['1', '3', ',', ',', '1', ',', '2']",1
"[',', ',', '1', ',', '2', ',', '2']",1
"['2', ',', '2', ',', '1', ',', '1']",16
